4.100000000000000000e+01,8.800000000000000000e+01
5.900000000000000000e+01,7.000000000000000000e+01
5.900000000000000000e+01,9.800000000000000000e+01
7.700000000000000000e+01,8.400000000000000000e+01
9.500000000000000000e+01,6.600000000000000000e+01
9.500000000000000000e+01,9.400000000000000000e+01
1.130000000000000000e+02,8.000000000000000000e+01
4.100000000000000000e+01,1.590000000000000000e+02
5.900000000000000000e+01,1.410000000000000000e+02
5.900000000000000000e+01,1.690000000000000000e+02
7.700000000000000000e+01,1.550000000000000000e+02
9.500000000000000000e+01,1.370000000000000000e+02
9.500000000000000000e+01,1.650000000000000000e+02
1.130000000000000000e+02,1.510000000000000000e+02
4.100000000000000000e+01,2.300000000000000000e+02
5.900000000000000000e+01,2.120000000000000000e+02
5.900000000000000000e+01,2.400000000000000000e+02
7.700000000000000000e+01,2.260000000000000000e+02
9.500000000000000000e+01,2.080000000000000000e+02
9.500000000000000000e+01,2.360000000000000000e+02
1.130000000000000000e+02,2.220000000000000000e+02
4.100000000000000000e+01,3.010000000000000000e+02
5.900000000000000000e+01,2.830000000000000000e+02
5.900000000000000000e+01,3.110000000000000000e+02
7.700000000000000000e+01,2.970000000000000000e+02
9.500000000000000000e+01,2.790000000000000000e+02
9.500000000000000000e+01,3.070000000000000000e+02
1.130000000000000000e+02,2.930000000000000000e+02
4.100000000000000000e+01,3.720000000000000000e+02
5.900000000000000000e+01,3.540000000000000000e+02
5.900000000000000000e+01,3.820000000000000000e+02
7.700000000000000000e+01,3.680000000000000000e+02
9.500000000000000000e+01,3.500000000000000000e+02
9.500000000000000000e+01,3.780000000000000000e+02
1.130000000000000000e+02,3.640000000000000000e+02
